Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC
14248,"K Hornik, M Stinchcombe, H White","Multilayer feedforward networks are universal approximators",1989,"Neural networks","Elsevier","http://www.sciencedirect.com/science/article/pii/0893608089900208","https://scholar.google.com/scholar?cites=12935024849426088025&as_sdt=5,33&sciodt=0,33&hl=en&num=20",128,"2017-06-15","","","","",0,0,0,0,14248
11340,"R Eberhart, J Kennedy","A new optimizer using particle swarm theory",1995,"… and Human Science, 1995. MHS'95., …","ieeexplore.ieee.org","http://ieeexplore.ieee.org/abstract/document/494215/","https://scholar.google.com/scholar?cites=13519346008873428348&as_sdt=5,33&sciodt=0,33&hl=en&num=20",966,"2017-06-15","","","","",0,0,0,0,11340
10116,"R Lippmann","An introduction to computing with neural nets",1987,"IEEE Assp magazine","ieeexplore.ieee.org","http://ieeexplore.ieee.org/abstract/document/1165576/","https://scholar.google.com/scholar?cites=15911741126627790090&as_sdt=5,33&sciodt=0,33&hl=en&num=20",658,"2017-06-15","","","","",0,0,0,0,10116
5046,"HA Rowley, S Baluja, T Kanade","Neural network-based face detection",1998,"IEEE Transactions on pattern …","ieeexplore.ieee.org","http://ieeexplore.ieee.org/abstract/document/655647/","https://scholar.google.com/scholar?cites=1898117017753769567&as_sdt=5,33&sciodt=0,33&hl=en&num=20",230,"2017-06-15","","","","",0,0,0,0,5046
3668,"SS Haykin, SS Haykin, SS Haykin, SS Haykin","Neural networks and learning machines",2009,"","cise.ufl.edu","https://cise.ufl.edu/class/cap6615sp12/syllabus.pdf","https://scholar.google.com/scholar?cites=12303149864804972217&as_sdt=5,33&sciodt=0,33&hl=en&num=20",429,"2017-06-15","BOOK","","","",0,0,0,0,3668
3184,"DF Specht","A general regression neural network",1991,"IEEE transactions on neural networks","ieeexplore.ieee.org","http://ieeexplore.ieee.org/abstract/document/97934/","https://scholar.google.com/scholar?cites=16937192558925020556&as_sdt=5,33&sciodt=0,33&hl=en&num=20",199,"2017-06-15","","","","",0,0,0,0,3184
2907,"PD Wasserman","Neural computing",1989,"","ulb.tu-darmstadt.de","http://www.ulb.tu-darmstadt.de/tocs/13310690.pdf","https://scholar.google.com/scholar?cites=10652582445290769917&as_sdt=5,33&sciodt=0,33&hl=en&num=20",705,"2017-06-15","BOOK","","","",0,0,0,0,2907
2897,"G Zhang, BE Patuwo, MY Hu","Forecasting with artificial neural networks:: The state of the art",1998,"International journal of forecasting","Elsevier","http://www.sciencedirect.com/science/article/pii/S0169207097000447","https://scholar.google.com/scholar?cites=1914652270435606131&as_sdt=5,33&sciodt=0,33&hl=en&num=20",414,"2017-06-15","","","","",0,0,0,0,2897
2662,"X Yao","Evolving artificial neural networks",1999,"Proceedings of the IEEE","ieeexplore.ieee.org","http://ieeexplore.ieee.org/abstract/document/784219/","https://scholar.google.com/scholar?cites=1086368656555128421&as_sdt=5,33&sciodt=0,33&hl=en&num=20",518,"2017-06-15","","","","",0,0,0,0,2662
2497,"J Khan, JS Wei, M Ringner, LH Saal, M Ladanyi…","Classification and diagnostic prediction of cancers using gene expression profiling and artificial neural networks",2001,"Nature medicine","nature.com","http://www.nature.com/nm/journal/v7/n6/abs/nm0601_673.html","https://scholar.google.com/scholar?cites=12303479942458506071&as_sdt=5,33&sciodt=0,33&hl=en&num=20",516,"2017-06-15","","","","",0,0,0,0,2497
2304,"MH Hassoun","Fundamentals of artificial neural networks",1995,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=Otk32Y3QkxQC&oi=fnd&pg=PR13&dq=artificial+neural+network&ots=db8VgIwdX2&sig=ewOdbxlBtdgEZQ_foD76jUNnfrU","https://scholar.google.com/scholar?cites=1538894259974200971&as_sdt=5,33&sciodt=0,33&hl=en&num=20",781,"2017-06-15","BOOK","","","",0,0,0,0,2304
2005,"A Cochocki, R Unbehauen","Neural networks for optimization and signal processing",1993,"","dl.acm.org","http://dl.acm.org/citation.cfm?id=562697","https://scholar.google.com/scholar?cites=17197233161013192754&as_sdt=5,33&sciodt=0,33&hl=en&num=20",117,"2017-06-15","BOOK","","","",0,0,0,0,2005
1915,"CT Lin, CS Lee","Neural fuzzy systems: a neuro-fuzzy synergism to intelligent systems",1996,"","dl.acm.org","http://dl.acm.org/citation.cfm?id=230237","https://scholar.google.com/scholar?cites=18326716362304215434&as_sdt=5,33&sciodt=0,33&hl=en&num=20",824,"2017-06-15","CITATION","","","",0,0,0,0,1915
1798,"AK Jain, J Mao, KM Mohiuddin","Artificial neural networks: A tutorial",1996,"Computer","ieeexplore.ieee.org","http://ieeexplore.ieee.org/abstract/document/485891/","https://scholar.google.com/scholar?cites=11348675984878115003&as_sdt=5,33&sciodt=0,33&hl=en&num=20",206,"2017-06-15","","","","",0,0,0,0,1798
1566,"B Fritzke","Growing cell structures—a self-organizing network for unsupervised and supervised learning",1994,"Neural networks","Elsevier","http://www.sciencedirect.com/science/article/pii/0893608094900914","https://scholar.google.com/scholar?cites=12301068923995120812&as_sdt=5,33&sciodt=0,33&hl=en&num=20",95,"2017-06-15","","","","",0,0,0,0,1566
1537,"IA Basheer, M Hajmeer","Artificial neural networks: fundamentals, computing, design, and application",2000,"Journal of microbiological methods","Elsevier","http://www.sciencedirect.com/science/article/pii/S0167701200002013","https://scholar.google.com/scholar?cites=14747330369513361685&as_sdt=5,33&sciodt=0,33&hl=en&num=20",587,"2017-06-15","","","","",0,0,0,0,1537
1516,"ZH Zhou, J Wu, W Tang","Ensembling neural networks: many could be better than all",2002,"Artificial intelligence","Elsevier","http://www.sciencedirect.com/science/article/pii/S000437020200190X","https://scholar.google.com/scholar?cites=17460575044883654374&as_sdt=5,33&sciodt=0,33&hl=en&num=20",22,"2017-06-15","HTML","","","",0,0,0,0,1516
1463,"PD Wasserman","Advanced methods in neural computing",1993,"","dl.acm.org","http://dl.acm.org/citation.cfm?id=562821","https://scholar.google.com/scholar?cites=7821973946513966015&as_sdt=5,33&sciodt=0,33&hl=en&num=20",19,"2017-06-15","BOOK","","","",0,0,0,0,1463
1456,"S Lawrence, CL Giles, AC Tsoi…","Face recognition: A convolutional neural-network approach",1997,"… transactions on neural …","ieeexplore.ieee.org","http://ieeexplore.ieee.org/abstract/document/554195/","https://scholar.google.com/scholar?cites=15002284464621963100&as_sdt=5,33&sciodt=0,33&hl=en&num=20",796,"2017-06-15","","","","",0,0,0,0,1456
1406,"GP Zhang","Time series forecasting using a hybrid ARIMA and neural network model",2003,"Neurocomputing","Elsevier","http://www.sciencedirect.com/science/article/pii/S0925231201007020","https://scholar.google.com/scholar?cites=3551603047244278695&as_sdt=5,33&sciodt=0,33&hl=en&num=20",213,"2017-06-15","","","","",0,0,0,0,1406
1344,"N Qian, TJ Sejnowski","Predicting the secondary structure of globular proteins using neural network models",1988,"Journal of molecular biology","Elsevier","http://www.sciencedirect.com/science/article/pii/0022283688905645","https://scholar.google.com/scholar?cites=3373996413106434492&as_sdt=5,33&sciodt=0,33&hl=en&num=20",683,"2017-06-15","","","","",0,0,0,0,1344
1307,"DW Patterson","Artificial neural networks: theory and applications",1998,"","dl.acm.org","http://dl.acm.org/citation.cfm?id=521611","https://scholar.google.com/scholar?cites=13078890397603409194&as_sdt=5,33&sciodt=0,33&hl=en&num=20",121,"2017-06-15","CITATION","","","",0,0,0,0,1307
1288,"K Hsu, HV Gupta, S Sorooshian","Artificial neural network modeling of the rainfall‐runoff process",1995,"Water resources research","Wiley Online Library","http://onlinelibrary.wiley.com/doi/10.1029/95WR01955/full","https://scholar.google.com/scholar?cites=11108998232887052054&as_sdt=5,33&sciodt=0,33&hl=en&num=20",3,"2017-06-15","","","","",0,0,0,0,1288
1279,"WT Miller, PJ Werbos, RS Sutton","Neural networks for control",1995,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=prjMtIr_yT8C&oi=fnd&pg=PR2&dq=artificial+neural+network&ots=-1U5qyUbtq&sig=viBI9M_PNA-_pFFgaGk5oGlhO8w","https://scholar.google.com/scholar?cites=13427196976586510907&as_sdt=5,33&sciodt=0,33&hl=en&num=20",545,"2017-06-15","BOOK","","","",0,0,0,0,1279
1225,"CT Lin, CSG Lee","Neural fuzzy systems",1996,"PTR Prentice Hall","pdfs.semanticscholar.org","https://pdfs.semanticscholar.org/1169/0e1b68a60b03bc563d14e73ea215e20d6632.pdf","https://scholar.google.com/scholar?cites=1819391177130092802&as_sdt=5,33&sciodt=0,33&hl=en&num=20",251,"2017-06-15","PDF","","","",0,0,0,0,1225
1195,"DC Park, MA El-Sharkawi, RJ Marks…","Electric load forecasting using an artificial neural network",1991,"IEEE transactions on …","ieeexplore.ieee.org","http://ieeexplore.ieee.org/abstract/document/76685/","https://scholar.google.com/scholar?cites=15960418172080628015&as_sdt=5,33&sciodt=0,33&hl=en&num=20",2,"2017-06-15","","","","",0,0,0,0,1195
1154,"EI Altman, G Marco, F Varetto","Corporate distress diagnosis: Comparisons using linear discriminant analysis and neural networks (the Italian experience)",1994,"Journal of banking & finance","Elsevier","http://www.sciencedirect.com/science/article/pii/0378426694900078","https://scholar.google.com/scholar?cites=666442903466039136&as_sdt=5,33&sciodt=0,33&hl=en&num=20",435,"2017-06-15","","","","",0,0,0,0,1154
