Date,COND
16-Apr-1980,92.2
29-Apr-1980,89.4
20-May-1980,95.1
2-Jun-1980,91.4
16-Jun-1980,92.3
30-Jun-1980,98.1
24-Jul-1980,89.6
4-Aug-1980,96.9
18-Aug-1980,97.1
2-Sep-1980,95.6
22-Sep-1980,104.0
6-Nov-1980,96.9
6-Apr-1981,97.6
21-Apr-1981,101.4
5-May-1981,97.4
19-May-1981,97.4
2-Jun-1981,93.2
24-Jun-1981,92.3
14-Jul-1981,91.8
5-Aug-1981,90.3
26-Aug-1981,90.5
16-Sep-1981,90.7
30-Sep-1981,89.8
13-Oct-1981,88.0
4-Nov-1981,89.1
26-Apr-1982,87.5
10-May-1982,90.5
25-May-1982,91.0
8-Jun-1982,88.5
22-Jun-1982,94.1
3-Aug-1982,105.0
24-Aug-1982,99.2
16-Sep-1982,95.8
14-Oct-1982,90.0
10-Nov-1982,92.4
13-Apr-1983,93.9
27-Apr-1983,97.9
12-May-1983,88.0
2-Jun-1983,105.6
14-Jun-1983,99.4
7-Jul-1983,106.6
26-Jul-1983,100.5
16-Aug-1983,94.0
14-Sep-1983,98.0
5-Oct-1983,92.8
1-Nov-1983,102.5
16-Apr-1984,100.7
1-May-1984,90.4
15-May-1984,91.6
30-May-1984,85.8
13-Jun-1984,99.0
5-Jul-1984,100.7
25-Jul-1984,96.6
16-Aug-1984,96.5
6-Sep-1984,97.9
25-Sep-1984,104.9
17-Oct-1984,104.9
7-Nov-1984,91.9
11-Apr-1985,91.6
7-May-1985,100.8
21-May-1985,105.4
4-Jun-1985,102.3
19-Jun-1985,106.1
3-Jul-1985,109.4
24-Jul-1985,108.4
11-Sep-1985,104.7
2-Oct-1985,117.0
15-Oct-1985,108.7
7-Nov-1985,106.1
16-Apr-1986,99.0
29-Apr-1986,103.0
13-May-1986,98.0
27-May-1986,91.0
11-Jun-1986,87.0
25-Jun-1986,88.0
17-Jul-1986,94.0
6-Aug-1986,105.0
27-Aug-1986,97.0
17-Sep-1986,98.0
1-Oct-1986,99.9
22-Oct-1986,101.0
6-Nov-1986,105.0
20-Nov-1986,104.0
15-Apr-1987,102.0
28-Apr-1987,104.0
12-May-1987,104.0
27-May-1987,98.9
10-Jun-1987,97.9
23-Jun-1987,107.6
15-Jul-1987,91.6
5-Aug-1987,106.0
26-Aug-1987,102.0
15-Sep-1987,103.0
13-Oct-1987,101.0
28-Oct-1987,102.0
10-Nov-1987,104.0
14-Apr-1988,106.0
26-Apr-1988,102.0
10-May-1988,104.0
24-May-1988,97.0
7-Jun-1988,97.0
21-Jun-1988,105.3
13-Jul-1988,95.8
3-Aug-1988,99.2
24-Aug-1988,96.1
8-Sep-1988,96.2
26-Sep-1988,99.9
18-Oct-1988,95.3
1-Nov-1988,96.4
15-Nov-1988,97.0
19-Apr-1989,104.0
17-May-1989,101.0
15-Jun-1989,97.7
13-Jul-1989,97.2
10-Aug-1989,104.0
7-Sep-1989,101.0
10-Oct-1989,93.0
8-Nov-1989,93.7
25-Apr-1990,97.0
24-May-1990,91.0
28-Jun-1990,93.0
19-Jul-1990,96.0
16-Aug-1990,94.0
12-Sep-1990,99.0
11-Oct-1990,101.0
15-Nov-1990,91.0
10-Apr-1991,94.0
9-May-1991,92.0
5-Jun-1991,86.0
9-Jul-1991,98.0
7-Aug-1991,98.0
11-Sep-1991,103.0
15-Oct-1991,97.0
13-Nov-1991,98.0
24-Apr-1992,99.0
7-May-1992,98.0
20-May-1992,100.0
17-Jun-1992,92.0
15-Jul-1992,94.0
13-Aug-1992,92.0
9-Sep-1992,94.0
8-Oct-1992,101.0
22-Oct-1992,101.0
4-Nov-1992,98.0
4-May-1993,97.0
18-May-1993,97.0
8-Jun-1993,99.0
15-Jul-1993,103.0
19-Aug-1993,100.0
16-Sep-1993,111.0
21-Oct-1993,95.0
18-Nov-1993,112.0
4-May-1994,105.0
19-May-1994,107.0
1-Jun-1994,106.0
7-Jul-1994,105.0
4-Aug-1994,108.0
12-Sep-1994,100.0
4-Oct-1994,109.0
31-Oct-1994,107.0
16-Nov-1994,109.0
11-Apr-1995,110.0
26-Apr-1995,109.0
9-May-1995,106.8
23-May-1995,109.0
6-Jun-1995,113.0
20-Jun-1995,109.0
20-Jul-1995,108.0
22-Aug-1995,109.0
20-Sep-1995,114.0
24-Oct-1995,109.0
15-Nov-1995,111.0
17-Apr-1996,104.0
1-May-1996,106.0
14-May-1996,101.0
29-May-1996,104.0
11-Jun-1996,105.0
9-Jul-1996,113.0
7-Aug-1996,114.0
5-Sep-1996,108.0
2-Oct-1996,113.0
15-Oct-1996,107.0
5-Nov-1996,100.0
22-Apr-1997,104.0
7-May-1997,117.0
20-May-1997,108.0
3-Jun-1997,122.0
18-Jun-1997,109.2
24-Jul-1997,100.0
21-Aug-1997,108.5
22-Sep-1997,110.8
22-Oct-1997,117.2
4-Nov-1997,104.8
15-Apr-1998,106.5
30-Apr-1998,106.1
12-May-1998,105.3
26-May-1998,100.8
10-Jun-1998,104.8
16-Jul-1998,104.4
6-Aug-1998,101.8
1-Sep-1998,105.5
30-Sep-1998,106.3
13-Oct-1998,105.1
2-Nov-1998,100.9
14-Apr-1999,105.3
27-Apr-1999,102.6
12-May-1999,103.2
26-May-1999,103.4
9-Jun-1999,107.9
23-Jun-1999,108.9
21-Jul-1999,111.8
11-Aug-1999,109.8
9-Sep-1999,114.0
6-Oct-1999,110.4
20-Oct-1999,112.5
4-Nov-1999,105.5
12-Apr-2000,107.1
25-Apr-2000,103.0
9-May-2000,104.4
23-May-2000,104.6
6-Jun-2000,102.0
27-Jun-2000,107.7
26-Jul-2000,108.2
24-Aug-2000,105.4
19-Sep-2000,108.7
1-Nov-2000,107.8
1-May-2001,105.8
16-May-2001,107.1
30-May-2001,109.1
13-Jun-2001,103.2
27-Jun-2001,97.8
24-Jul-2001,114.1
22-Aug-2001,110.2
20-Sep-2001,111.7
19-Oct-2001,108.1
6-Nov-2001,111.6
16-Apr-2002,115.2
30-Apr-2002,110.0
15-May-2002,111.5
29-May-2002,116.2
11-Jun-2002,110.4
26-Jun-2002,109.0
19-Jul-2002,119.0
29-Aug-2002,116.4
26-Sep-2002,121.4
23-Oct-2002,115.7
6-Nov-2002,119.5
6-May-2003,118.5
20-May-2003,122.2
3-Jun-2003,115.0
19-Jun-2003,119.0
18-Jul-2003,121.9
14-Aug-2003,117.3
10-Sep-2003,118.4
10-Oct-2003,120.6
22-Oct-2003,116.7
11-Nov-2003,110.4
29-Apr-2004,125.3
11-May-2004,123.8
25-May-2004,119.0
8-Jun-2004,123.9
24-Jun-2004,123.3
22-Jul-2004,123.8
23-Aug-2004,126.4
22-Sep-2004,126.7
20-Oct-2004,120.4
2-Nov-2004,122.3
17-Nov-2004,118.3
26-Apr-2005,124.7
10-May-2005,122.1
25-May-2005,122.4
9-Jun-2005,123.8
21-Jun-2005,113.3
21-Jul-2005,125.9
19-Aug-2005,130.1
13-Sep-2005,128.4
11-Oct-2005,126.3
27-Oct-2005,126.2
8-Nov-2005,123.0
11-Apr-2006,122.0
25-Apr-2006,123.0
11-May-2006,120.9
24-May-2006,120.4
7-Jun-2006,118.4
21-Jun-2006,127.0
18-Jul-2006,116.9
18-Aug-2006,117.9
15-Sep-2006,124.3
11-Oct-2006,124.6
25-Oct-2006,125.8
8-Nov-2006,126.2
1-May-2007,119.6
16-May-2007,122.3
30-May-2007,120.3
13-Jun-2007,122.8
10-Jul-2007,125.0
8-Aug-2007,123.8
5-Sep-2007,128.0
2-Oct-2007,131.2
30-Oct-2007,122.0
14-Nov-2007,125.7
23-Apr-2008,117.1
7-May-2008,117.3
20-May-2008,119.1
4-Jun-2008,116.5
18-Jun-2008,118.6
15-Jul-2008,113.6
12-Aug-2008,113.8
27-Aug-2008,116.1
12-Sep-2008,115.0
9-Oct-2008,116.3
22-Oct-2008,120.2
4-Nov-2008,114.6
21-Apr-2009,115.5
5-May-2009,122.8
19-May-2009,122.4
3-Jun-2009,124.7
17-Jun-2009,123.1
30-Jun-2009,122.4
29-Jul-2009,122.2
26-Aug-2009,118.2
23-Sep-2009,117.7
21-Oct-2009,123.6
5-Nov-2009,119.2
16-Apr-1980,92.8
29-Apr-1980,90.4
20-May-1980,92.5
2-Jun-1980,91.4
16-Jun-1980,90.3
30-Jun-1980,95.8
24-Jul-1980,85.8
4-Aug-1980,93.0
18-Aug-1980,95.0
2-Sep-1980,97.5
6-Nov-1980,96.9
6-Apr-1981,116.0
21-Apr-1981,102.7
5-May-1981,96.3
19-May-1981,97.4
2-Jun-1981,91.3
14-Jul-1981,91.3
5-Aug-1981,86.6
26-Aug-1981,90.5
16-Sep-1981,89.8
30-Sep-1981,88.7
13-Oct-1981,86.6
4-Nov-1981,89.1
26-Apr-1982,87.5
25-May-1982,92.0
8-Jun-1982,89.5
22-Jun-1982,92.0
13-Jul-1982,108.4
3-Aug-1982,103.0
24-Aug-1982,95.9
16-Sep-1982,94.7
14-Oct-1982,101.5
10-Nov-1982,90.5
13-Apr-1983,94.9
27-Apr-1983,97.9
12-May-1983,88.0
2-Jun-1983,108.8
14-Jun-1983,101.9
7-Jul-1983,109.3
26-Jul-1983,99.3
16-Aug-1983,92.8
14-Sep-1983,96.1
5-Oct-1983,91.7
1-Nov-1983,101.4
16-Apr-1984,100.7
1-May-1984,90.4
15-May-1984,90.4
30-May-1984,85.8
13-Jun-1984,99.0
5-Jul-1984,101.9
25-Jul-1984,101.1
16-Aug-1984,98.8
6-Sep-1984,102.6
25-Sep-1984,103.7
17-Oct-1984,96.7
7-Nov-1984,95.5
11-Apr-1985,95.9
7-May-1985,100.8
21-May-1985,105.4
4-Jun-1985,102.3
19-Jun-1985,103.6
3-Jul-1985,106.9
24-Jul-1985,109.8
11-Sep-1985,103.5
15-Oct-1985,108.7
7-Nov-1985,107.3
16-Apr-1986,101.0
29-Apr-1986,99.0
13-May-1986,95.0
27-May-1986,96.0
11-Jun-1986,92.0
25-Jun-1986,92.0
17-Jul-1986,102.0
6-Aug-1986,105.0
27-Aug-1986,98.0
17-Sep-1986,98.5
1-Oct-1986,99.8
22-Oct-1986,101.0
6-Nov-1986,107.0
20-Nov-1986,105.0
15-Apr-1987,102.0
28-Apr-1987,104.0
12-May-1987,104.0
27-May-1987,97.7
10-Jun-1987,100.2
23-Jun-1987,109.8
15-Jul-1987,92.7
5-Aug-1987,103.0
26-Aug-1987,101.0
15-Sep-1987,103.0
13-Oct-1987,100.0
28-Oct-1987,102.0
10-Nov-1987,103.0
14-Apr-1988,104.0
26-Apr-1988,102.0
10-May-1988,103.0
24-May-1988,100.0
7-Jun-1988,98.0
21-Jun-1988,104.2
13-Jul-1988,95.2
3-Aug-1988,96.0
24-Aug-1988,96.6
8-Sep-1988,96.1
26-Sep-1988,100.2
18-Oct-1988,95.0
1-Nov-1988,96.3
15-Nov-1988,95.9
19-Apr-1989,103.0
17-May-1989,102.0
15-Jun-1989,97.9
13-Jul-1989,97.0
10-Aug-1989,104.0
7-Sep-1989,99.0
10-Oct-1989,93.0
8-Nov-1989,93.4
25-Apr-1990,98.0
24-May-1990,97.0
28-Jun-1990,94.0
19-Jul-1990,97.0
16-Aug-1990,98.0
12-Sep-1990,101.0
11-Oct-1990,97.0
15-Nov-1990,88.0
10-Apr-1991,96.0
9-May-1991,92.0
5-Jun-1991,87.0
9-Jul-1991,97.0
7-Aug-1991,96.0
11-Sep-1991,99.0
15-Oct-1991,97.0
13-Nov-1991,99.0
24-Apr-1992,100.0
7-May-1992,99.0
20-May-1992,100.0
17-Jun-1992,93.0
15-Jul-1992,94.0
13-Aug-1992,89.0
9-Sep-1992,95.0
8-Oct-1992,99.0
22-Oct-1992,101.0
4-Nov-1992,98.0
4-May-1993,99.0
18-May-1993,98.0
8-Jun-1993,98.0
15-Jul-1993,102.0
19-Aug-1993,100.0
16-Sep-1993,107.0
21-Oct-1993,96.0
18-Nov-1993,112.0
4-May-1994,106.0
19-May-1994,106.0
1-Jun-1994,102.0
7-Jul-1994,103.0
4-Aug-1994,105.0
12-Sep-1994,98.0
4-Oct-1994,109.0
31-Oct-1994,109.0
16-Nov-1994,107.0
11-Apr-1995,106.0
26-Apr-1995,109.0
9-May-1995,104.4
23-May-1995,109.0
6-Jun-1995,113.0
20-Jun-1995,110.0
20-Jul-1995,110.0
22-Aug-1995,108.0
20-Sep-1995,112.0
24-Oct-1995,107.0
15-Nov-1995,111.0
17-Apr-1996,105.0
1-May-1996,103.0
14-May-1996,102.0
29-May-1996,106.0
11-Jun-1996,105.0
9-Jul-1996,114.0
7-Aug-1996,114.0
5-Sep-1996,107.0
2-Oct-1996,111.0
15-Oct-1996,107.0
5-Nov-1996,101.0
22-Apr-1997,106.0
7-May-1997,105.0
20-May-1997,106.0
3-Jun-1997,123.0
18-Jun-1997,108.0
24-Jul-1997,99.0
21-Aug-1997,108.5
22-Sep-1997,109.0
22-Oct-1997,117.4
