Date,SI
3-Apr-1981,1.30
22-Apr-1981,1.28
6-May-1981,1.28
20-May-1981,1.17
3-Jun-1981,1.09
25-Jun-1981,1.19
14-Jul-1981,1.15
4-Aug-1981,1.12
25-Aug-1981,0.97
15-Sep-1981,1.10
1-Oct-1981,1.02
14-Oct-1981,1.05
3-Nov-1981,1.15
23-Apr-1982,1.30
11-May-1982,1.50
26-May-1982,1.30
9-Jun-1982,1.30
14-Jul-1982,0.75
4-Aug-1982,0.94
25-Aug-1982,0.95
17-Sep-1982,0.56
13-Oct-1982,0.96
9-Nov-1982,1.28
12-Apr-1983,1.50
26-Apr-1983,1.50
13-May-1983,1.40
3-Jun-1983,1.40
15-Jun-1983,1.15
8-Jul-1983,0.75
27-Jul-1983,0.95
17-Aug-1983,0.90
15-Sep-1983,1.00
6-Oct-1983,1.30
2-Nov-1983,1.15
17-Apr-1984,0.85
2-May-1984,2.38
16-May-1984,2.23
31-May-1984,0.75
14-Jun-1984,0.75
6-Jul-1984,0.65
15-Aug-1984,0.56
5-Sep-1984,0.55
25-Sep-1984,0.40
16-Oct-1984,0.60
7-Nov-1984,0.80
10-Apr-1985,0.96
8-May-1985,0.94
22-May-1985,0.90
5-Jun-1985,0.85
18-Jun-1985,0.81
2-Jul-1985,0.82
25-Jul-1985,0.84
15-Aug-1985,0.85
12-Sep-1985,0.87
1-Oct-1985,0.85
16-Oct-1985,0.91
8-Nov-1985,0.90
17-Apr-1986,1.17
30-Apr-1986,1.18
15-May-1986,1.02
29-May-1986,0.95
12-Jun-1986,0.94
26-Jun-1986,0.83
16-Jul-1986,0.70
7-Aug-1986,0.62
28-Aug-1986,0.62
18-Sep-1986,0.62
2-Oct-1986,0.66
23-Oct-1986,0.70
5-Nov-1986,0.73
19-Nov-1986,0.92
16-Apr-1987,0.92
1-May-1987,0.96
14-May-1987,0.92
28-May-1987,0.92
11-Jun-1987,0.82
25-Jun-1987,0.70
16-Jul-1987,0.68
6-Aug-1987,0.68
27-Aug-1987,0.68
16-Sep-1987,0.70
14-Oct-1987,0.79
29-Oct-1987,0.84
13-Nov-1987,0.96
15-Apr-1988,1.00
27-Apr-1988,1.00
11-May-1988,0.90
25-May-1988,1.00
8-Jun-1988,1.00
22-Jun-1988,0.90
14-Jul-1988,0.80
2-Aug-1988,0.80
25-Aug-1988,0.80
9-Sep-1988,0.80
27-Sep-1988,0.90
20-Oct-1988,0.90
2-Nov-1988,0.90
16-Nov-1988,1.00
20-Apr-1989,0.96
18-May-1989,0.88
16-Jun-1989,0.76
12-Jul-1989,0.75
9-Aug-1989,0.68
6-Sep-1989,0.67
11-Oct-1989,0.73
7-Nov-1989,0.79
26-Apr-1990,0.89
23-May-1990,1.32
27-Jun-1990,0.97
18-Jul-1990,0.77
15-Aug-1990,0.82
13-Sep-1990,0.76
10-Oct-1990,0.88
14-Nov-1990,0.92
11-Apr-1991,0.87
8-May-1991,1.01
6-Jun-1991,0.72
10-Jul-1991,0.56
8-Aug-1991,0.68
10-Sep-1991,0.67
16-Oct-1991,0.75
12-Nov-1991,0.98
27-Apr-1992,0.87
6-May-1992,1.05
21-May-1992,0.95
18-Jun-1992,0.99
16-Jul-1992,0.86
11-Aug-1992,0.65
10-Sep-1992,0.78
7-Oct-1992,1.20
2-Nov-1992,1.35
6-May-1993,1.03
19-May-1993,1.16
10-Jun-1993,0.99
13-Jul-1993,0.90
17-Aug-1993,0.90
14-Sep-1993,0.90
19-Oct-1993,0.94
16-Nov-1993,1.08
3-May-1994,1.03
17-May-1994,1.10
2-Jun-1994,1.23
6-Jul-1994,0.89
3-Aug-1994,0.95
13-Sep-1994,1.02
6-Oct-1994,1.05
3-Nov-1994,0.92
