Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC
32655,"CC Chang, CJ Lin","LIBSVM: a library for support vector machines",2011,"ACM Transactions on Intelligent Systems and …","dl.acm.org","http://dl.acm.org/citation.cfm?id=1961199","https://scholar.google.com/scholar?cites=351062608797764728&as_sdt=5,33&sciodt=0,33&hl=en&num=20",570,"2017-06-15","","","","",0,0,0,0,32655
26028,"C Cortes, V Vapnik","Support-vector networks",1995,"Machine learning","Springer","http://www.springerlink.com/index/K238JX04HM87J80G.pdf","https://scholar.google.com/scholar?cites=6793074864602326489&as_sdt=5,33&sciodt=0,33&hl=en&num=20",68,"2017-06-15","","","","",0,0,0,0,26028
17932,"CJC Burges","A tutorial on support vector machines for pattern recognition",1998,"Data mining and knowledge discovery","Springer","http://www.springerlink.com/index/Q87856173126771Q.pdf","https://scholar.google.com/scholar?cites=17956073918040152984&as_sdt=5,33&sciodt=0,33&hl=en&num=20",132,"2017-06-15","","","","",0,0,0,0,17932
17681,"AM Andrew","An Introduction to Support Vector Machines and Other Kernel-Based Learning Methods by Nello Christianini and John Shawe-Taylor, Cambridge University Press, …",2000,"","Cambridge Univ Press","http://journals.cambridge.org/article_S0263574700232827","https://scholar.google.com/scholar?cites=8859949852949259525&as_sdt=5,33&sciodt=0,33&hl=en&num=20",394,"2017-06-15","","","","",0,0,0,0,17681
11778,"B Schölkopf, AJ Smola","Learning with kernels: support vector machines, regularization, optimization, and beyond",2002,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=y8ORL3DWt4sC&oi=fnd&pg=PR13&dq=support+vector+machine&ots=bKBXaxS4zH&sig=kN-opoNwAIbTmVNaKWXL40NIe_0","https://scholar.google.com/scholar?cites=3391028632449519147&as_sdt=5,33&sciodt=0,33&hl=en&num=20",268,"2017-06-15","BOOK","","","",0,0,0,0,11778
9413,"CE Rasmussen","Gaussian processes for machine learning",2006,"","Citeseer","http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.86.3414","https://scholar.google.com/scholar?cites=10406951793662929569&as_sdt=5,33&sciodt=0,33&hl=en&num=20",44,"2017-06-15","","","","",0,0,0,0,9413
8519,"T Joachims","Text categorization with support vector machines: Learning with many relevant features",1998,"Machine learning: ECML-98","Springer","http://www.springerlink.com/index/drhq581108850171.pdf","https://scholar.google.com/scholar?cites=16647382822045926408&as_sdt=5,33&sciodt=0,33&hl=en&num=20",16,"2017-06-15","","","","",0,0,0,0,8519
6852,"CW Hsu, CJ Lin","A comparison of methods for multiclass support vector machines",2002,"IEEE transactions on Neural Networks","ieeexplore.ieee.org","http://ieeexplore.ieee.org/abstract/document/991427/","https://scholar.google.com/scholar?cites=16112389916270927330&as_sdt=5,33&sciodt=0,33&hl=en&num=20",77,"2017-06-15","","","","",0,0,0,0,6852
6824,"AJ Smola, B Schölkopf","A tutorial on support vector regression",2004,"Statistics and computing","Springer","http://link.springer.com/article/10.1023/B:STCO.0000035301.49549.88","https://scholar.google.com/scholar?cites=12887921014177981629&as_sdt=5,33&sciodt=0,33&hl=en&num=20",24,"2017-06-15","","","","",0,0,0,0,6824
6612,"JC Platt","12 fast training of support vector machines using sequential minimal optimization",1999,"Advances in kernel methods","cs.utsa.edu","http://www.cs.utsa.edu/~bylander/cs6243/smo-book.pdf","https://scholar.google.com/scholar?cites=8602534054899818881&as_sdt=5,33&sciodt=0,33&hl=en&num=20",194,"2017-06-15","PDF","","","",0,0,0,0,6612
6344,"JAK Suykens, J Vandewalle","Least squares support vector machine classifiers",1999,"Neural processing letters","Springer","http://www.springerlink.com/index/n75178640w32646j.pdf","https://scholar.google.com/scholar?cites=5236685304681750388&as_sdt=5,33&sciodt=0,33&hl=en&num=20",1,"2017-06-15","","","","",0,0,0,0,6344
5732,"I Guyon, J Weston, S Barnhill, V Vapnik","Gene selection for cancer classification using support vector machines",2002,"Machine learning","Springer","http://www.springerlink.com/index/w68424066825vr3l.pdf","https://scholar.google.com/scholar?cites=955927231476708835&as_sdt=5,33&sciodt=0,33&hl=en&num=20",130,"2017-06-15","","","","",0,0,0,0,5732
5437,"CW Hsu, CC Chang, CJ Lin","A practical guide to support vector classification",2003,"","datascienceassn.org","http://www.datascienceassn.org/sites/default/files/Practical%20Guide%20to%20Support%20Vector%20Classification.pdf","https://scholar.google.com/scholar?cites=641043387122164335&as_sdt=5,33&sciodt=0,33&hl=en&num=20",48,"2017-06-15","PDF","","","",0,0,0,0,5437
4983,"ME Tipping","Sparse Bayesian learning and the relevance vector machine",2001,"Journal of machine learning research","jmlr.org","http://www.jmlr.org/papers/v1/tipping01a.html","https://scholar.google.com/scholar?cites=11200804397085160220&as_sdt=5,33&sciodt=0,33&hl=en&num=20",98,"2017-06-15","","","","",0,0,0,0,4983
4166,"J Platt","Probabilistic outputs for support vector machines and comparisons to regularized likelihood methods",1999,"Advances in large margin classifiers","researchgate.net","https://www.researchgate.net/profile/John_Platt/publication/2594015_Probabilistic_Outputs_for_Support_Vector_Machines_and_Comparisons_to_Regularized_Likelihood_Methods/links/004635154cff5262d6000000.pdf","https://scholar.google.com/scholar?cites=9509709807301375713&as_sdt=5,33&sciodt=0,33&hl=en&num=20",292,"2017-06-15","PDF","","","",0,0,0,0,4166
3715,"B Scholkopf, AJ Smola","Learning with kernels: support vector machines, regularization, optimization, and beyond",2001,"","dl.acm.org","http://dl.acm.org/citation.cfm?id=559923","https://scholar.google.com/scholar?cites=8300099389410005713&as_sdt=5,33&sciodt=0,33&hl=en&num=20",13,"2017-06-15","BOOK","","","",0,0,0,0,3715
3551,"JAK Suykens, T Van Gestel, J De Brabanter","Least squares support vector machines",2002,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=g8wEimyEmrUC&oi=fnd&pg=PA1&dq=support+vector+machine&ots=0U9hzt2dMx&sig=Y5kyI36NXa0XFgSXKTXX7gntgMs","https://scholar.google.com/scholar?cites=13639005323536937669&as_sdt=5,33&sciodt=0,33&hl=en&num=20",526,"2017-06-15","BOOK","","","",0,0,0,0,3551
3178,"E Osuna, R Freund, F Girosit","Training support vector machines: an application to face detection",1997,"Computer vision and pattern …","ieeexplore.ieee.org","http://ieeexplore.ieee.org/abstract/document/609310/","https://scholar.google.com/scholar?cites=17424214398092079898&as_sdt=5,33&sciodt=0,33&hl=en&num=20",83,"2017-06-15","","","","",0,0,0,0,3178
3114,"SR Gunn","Support vector machines for classification and regression",1998,"ISIS technical report","ce.sharif.ir","http://ce.sharif.ir/courses/85-86/2/ce725/resources/root/LECTURES/SVM.pdf","https://scholar.google.com/scholar?cites=9824524270378671577&as_sdt=5,33&sciodt=0,33&hl=en&num=20",637,"2017-06-15","PDF","","","",0,0,0,0,3114
2783,"T Joachims","Transductive inference for text classification using support vector machines",1999,"ICML","cs.columbia.edu","http://www1.cs.columbia.edu/~dplewis/candidacy/joachims99transductive.pdf","https://scholar.google.com/scholar?cites=1628665369187468312&as_sdt=5,33&sciodt=0,33&hl=en&num=20",930,"2017-06-15","PDF","","","",0,0,0,0,2783
2698,"MPS Brown, WN Grundy, D Lin…","Knowledge-based analysis of microarray gene expression data by using support vector machines",2000,"Proceedings of the …","National Acad Sciences","http://www.pnas.org/content/97/1/262.short","https://scholar.google.com/scholar?cites=12480117044468770978&as_sdt=5,33&sciodt=0,33&hl=en&num=20",105,"2017-06-15","","","","",0,0,0,0,2698
2662,"S Mika, G Ratsch, J Weston…","Fisher discriminant analysis with kernels",1999,"Neural Networks for …","ieeexplore.ieee.org","http://ieeexplore.ieee.org/abstract/document/788121/","https://scholar.google.com/scholar?cites=1313558773224216398&as_sdt=5,33&sciodt=0,33&hl=en&num=20",512,"2017-06-15","","","","",0,0,0,0,2662
2590,"J Platt","Sequential minimal optimization: A fast algorithm for training support vector machines",1998,"","microsoft.com","https://www.microsoft.com/en-us/research/publication/sequential-minimal-optimization-a-fast-algorithm-for-training-support-vector-machines/","https://scholar.google.com/scholar?cites=5166888932495796732&as_sdt=5,33&sciodt=0,33&hl=en&num=20",215,"2017-06-15","","","","",0,0,0,0,2590
