Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC
25652,"CM Bishop","Pattern recognition",2006,"Machine Learning","academia.edu","http://www.academia.edu/download/30428242/bg0137.pdf","https://scholar.google.com/scholar?cites=6918077279019606730&as_sdt=5,33&sciodt=0,33&hl=en&num=20",536,"2017-06-15","PDF","","","",0,0,0,0,25652
13221,"AK Jain. MN Murty. PJ Flynn","Data clustering: a review",1999,"ACM computing surveys (CSUR)","dl.acm.org","http://dl.acm.org/citation.cfm?id=331504","https://scholar.google.com/scholar?cites=16217999797896335&as_sdt=5,33&sciodt=0,33&hl=en&num=20",160,"2017-06-15","","","","",0,0,0,0,13221
12456,"CD Manning. P Raghavan. H Schütze","Introduction to information retrieval",2008,"","langtoninfo.co.uk","http://www.langtoninfo.co.uk/web_content/9780521865715_frontmatter.pdf","https://scholar.google.com/scholar?cites=13780598546221793678&as_sdt=5,33&sciodt=0,33&hl=en&num=20",850,"2017-06-15","BOOK","","","",0,0,0,0,12456
8690,"JA Hartigan. JA Hartigan","Clustering algorithms",1975,"","jmlr.org","http://www.jmlr.org/papers/volume16/thomann15a/source/diff1.txt","https://scholar.google.com/scholar?cites=1210730516645697376&as_sdt=5,33&sciodt=0,33&hl=en&num=20",204,"2017-06-15","BOOK","","","",0,0,0,0,8690
7124,"B Schölkopf. A Smola. KR Müller","Nonlinear component analysis as a kernel eigenvalue problem",1998,"Neural computation","MIT Press","http://www.mitpressjournals.org/doi/abs/10.1162/089976698300017467","https://scholar.google.com/scholar?cites=9700976993142487787&as_sdt=5,33&sciodt=0,33&hl=en&num=20",691,"2017-06-15","","","","",0,0,0,0,7124
6864,"JA Hartigan. MA Wong","Algorithm AS 136: A k-means clustering algorithm",1979,"Journal of the Royal Statistical Society. Series C ( …","JSTOR","http://www.jstor.org/stable/2346830","https://scholar.google.com/scholar?cites=4685526428961580577&as_sdt=5,33&sciodt=0,33&hl=en&num=20",1,"2017-06-15","","","","",0,0,0,0,6864
5868,"AY Ng. MI Jordan. Y Weiss","On spectral clustering: Analysis and an algorithm",2002,"Advances in neural information …","papers.nips.cc","http://papers.nips.cc/paper/2092-on-spectral-clustering-analysis-and-an-algorithm.pdf","https://scholar.google.com/scholar?cites=18377783760711975365&as_sdt=5,33&sciodt=0,33&hl=en&num=20",209,"2017-06-15","PDF","","","",0,0,0,0,5868
5836,"M Aharon. M Elad. A Bruckstein","$ rm k $-SVD: An algorithm for designing overcomplete dictionaries for sparse representation",2006,"IEEE Transactions on signal …","ieeexplore.ieee.org","http://ieeexplore.ieee.org/abstract/document/1710377/","https://scholar.google.com/scholar?cites=7227228209220007480&as_sdt=5,33&sciodt=0,33&hl=en&num=20",431,"2017-06-15","","","","",0,0,0,0,5836
5595,"J Sivic. A Zisserman","Video google: A text retrieval approach to object matching in videos.",2003,"iccv","ieeexplore.ieee.org","http://ieeexplore.ieee.org/abstract/document/1238663/","https://scholar.google.com/scholar?cites=8357133848939814649&as_sdt=5,33&sciodt=0,33&hl=en&num=20",841,"2017-06-15","","","","",0,0,0,0,5595
5452,"M Dufrene. P Legendre","Species assemblages and indicator species: the need for a flexible asymmetrical approach",1997,"Ecological monographs","Wiley Online Library","http://onlinelibrary.wiley.com/doi/10.1890/0012-9615(1997)067%5B0345:SAAIST%5D2.0.CO;2/full","https://scholar.google.com/scholar?cites=12183766314613314330&as_sdt=5,33&sciodt=0,33&hl=en&num=20",923,"2017-06-15","","","","",0,0,0,0,5452
4866,"JC Dunn","A fuzzy relative of the ISODATA process and its use in detecting compact well-separated clusters",1973,"","Taylor & Francis","http://www.tandfonline.com/doi/abs/10.1080/01969727308546046","https://scholar.google.com/scholar?cites=1650613385983826436&as_sdt=5,33&sciodt=0,33&hl=en&num=20",796,"2017-06-15","","","","",0,0,0,0,4866
4674,"PJ Rousseeuw","Silhouettes: a graphical aid to the interpretation and validation of cluster analysis",1987,"Journal of computational and applied mathematics","Elsevier","http://www.sciencedirect.com/science/article/pii/0377042787901257","https://scholar.google.com/scholar?cites=16489762663333339453&as_sdt=5,33&sciodt=0,33&hl=en&num=20",464,"2017-06-15","HTML","","","",0,0,0,0,4674
4223,"J Deng. W Dong. R Socher. LJ Li. K Li…","Imagenet: A large-scale hierarchical image database",2009,"Computer Vision and …","ieeexplore.ieee.org","http://ieeexplore.ieee.org/abstract/document/5206848/","https://scholar.google.com/scholar?cites=610894740843277394&as_sdt=5,33&sciodt=0,33&hl=en&num=20",366,"2017-06-15","","","","",0,0,0,0,4223
3930,"DL Davies. DW Bouldin","A cluster separation measure",1979,"IEEE transactions on pattern analysis …","ieeexplore.ieee.org","http://ieeexplore.ieee.org/abstract/document/4766909/","https://scholar.google.com/scholar?cites=11992317260814516272&as_sdt=5,33&sciodt=0,33&hl=en&num=20",448,"2017-06-15","","","","",0,0,0,0,3930
3820,"BJ Frey. D Dueck","Clustering by passing messages between data points",2007,"science","science.sciencemag.org","http://science.sciencemag.org/content/315/5814/972.short","https://scholar.google.com/scholar?cites=4826876446252788633&as_sdt=5,33&sciodt=0,33&hl=en&num=20",784,"2017-06-15","","","","",0,0,0,0,3820
3597,"Y Cheng","Mean shift. mode seeking. and clustering",1995,"IEEE transactions on pattern analysis and machine …","ieeexplore.ieee.org","http://ieeexplore.ieee.org/abstract/document/400568/","https://scholar.google.com/scholar?cites=10368289517463693983&as_sdt=5,33&sciodt=0,33&hl=en&num=20",308,"2017-06-15","","","","",0,0,0,0,3597
3515,"D Nister. H Stewenius","Scalable recognition with a vocabulary tree",2006,"Computer vision and pattern …","ieeexplore.ieee.org","http://ieeexplore.ieee.org/abstract/document/1641018/","https://scholar.google.com/scholar?cites=7926723701017850696&as_sdt=5,33&sciodt=0,33&hl=en&num=20",975,"2017-06-15","","","","",0,0,0,0,3515
3466,"AK Jain","Data clustering: 50 years beyond K-means",2010,"Pattern recognition letters","Elsevier","http://www.sciencedirect.com/science/article/pii/S0167865509002323","https://scholar.google.com/scholar?cites=16205305846126879965&as_sdt=5,33&sciodt=0,33&hl=en&num=20",9,"2017-06-15","","","","",0,0,0,0,3466
3426,"P Tamayo. D Slonim. J Mesirov. Q Zhu…","Interpreting patterns of gene expression with self-organizing maps: methods and application to hematopoietic differentiation",1999,"Proceedings of the …","National Acad Sciences","http://www.pnas.org/content/96/6/2907.short","https://scholar.google.com/scholar?cites=10256600800775723869&as_sdt=5,33&sciodt=0,33&hl=en&num=20",793,"2017-06-15","","","","",0,0,0,0,3426
3288,"T Kanungo. DM Mount. NS Netanyahu…","An efficient k-means clustering algorithm: Analysis and implementation",2002,"IEEE transactions on …","ieeexplore.ieee.org","http://ieeexplore.ieee.org/abstract/document/1017616/","https://scholar.google.com/scholar?cites=15080639650529470543&as_sdt=5,33&sciodt=0,33&hl=en&num=20",3,"2017-06-15","","","","",0,0,0,0,3288
3063,"K Dabov. A Foi. V Katkovnik…","Image denoising by sparse 3-D transform-domain collaborative filtering",2007,"IEEE Transactions on …","ieeexplore.ieee.org","http://ieeexplore.ieee.org/abstract/document/4271520/","https://scholar.google.com/scholar?cites=1880635753920193383&as_sdt=5,33&sciodt=0,33&hl=en&num=20",600,"2017-06-15","","","","",0,0,0,0,3063
3044,"I Laptev. T Lindeberg","Space-time interest points",2003,"9th International Conference on …","ieeexplore.ieee.org","http://ieeexplore.ieee.org/abstract/document/1238378/","https://scholar.google.com/scholar?cites=16936270298455882829&as_sdt=5,33&sciodt=0,33&hl=en&num=20",615,"2017-06-15","","","","",0,0,0,0,3044
2969,"YW Teh. MI Jordan. MJ Beal. DM Blei","Sharing clusters among related groups: Hierarchical Dirichlet processes",2005,"Advances in neural …","papers.nips.cc","http://papers.nips.cc/paper/2698-sharing-clusters-among-related-groups-hierarchical-dirichlet-processes.pdf","https://scholar.google.com/scholar?cites=3790421305912736096&as_sdt=5,33&sciodt=0,33&hl=en&num=20",681,"2017-06-15","PDF","","","",0,0,0,0,2969
2871,"JC Bezdek. R Ehrlich. W Full","FCM: The fuzzy c-means clustering algorithm",1984,"Computers & Geosciences","Elsevier","http://www.sciencedirect.com/science/article/pii/0098300484900207","https://scholar.google.com/scholar?cites=8050684385299829334&as_sdt=5,33&sciodt=0,33&hl=en&num=20",71,"2017-06-15","","","","",0,0,0,0,2871
2707,"M Steinbach. G Karypis…","A comparison of document clustering techniques",2000,"KDD workshop on text …","pdfs.semanticscholar.org","https://pdfs.semanticscholar.org/c110/0f525044b2b926f7bd7f407ce7b0157bcfd8.pdf","https://scholar.google.com/scholar?cites=4755826830713352243&as_sdt=5,33&sciodt=0,33&hl=en&num=20",27,"2017-06-15","PDF","","","",0,0,0,0,2707
2604,"R Tibshirani. G Walther. T Hastie","Estimating the number of clusters in a data set via the gap statistic",2001,"Journal of the Royal …","Wiley Online Library","http://onlinelibrary.wiley.com/doi/10.1111/1467-9868.00293/full","https://scholar.google.com/scholar?cites=12551704574370620859&as_sdt=5,33&sciodt=0,33&hl=en&num=20",364,"2017-06-15","","","","",0,0,0,0,2604
