Date,Value
11-Apr-1995,10.0
26-Apr-1995,10.0
9-May-1995,10.2
23-May-1995,10.0
6-Jun-1995,10.2
21-Jun-1995,10.0
20-Jul-1995,10.9
22-Aug-1995,14.2
20-Sep-1995,12.1
24-Oct-1995,11.7
15-Nov-1995,11.2
17-Apr-1996,10.6
1-May-1996,12.2
14-May-1996,10.7
29-May-1996,11.2
11-Jun-1996,10.5
9-Jul-1996,10.5
7-Aug-1996,10.1
5-Sep-1996,10.7
2-Oct-1996,10.9
15-Oct-1996,10.2
5-Nov-1996,10.1
22-Apr-1997,10.4
7-May-1997,10.3
20-May-1997,9.7
3-Jun-1997,9.8
18-Jun-1997,10.8
24-Jul-1997,8.7
21-Aug-1997,8.5
22-Sep-1997,9.5
22-Oct-1997,10.2
4-Nov-1997,10.0
15-Apr-1998,10.8
30-Apr-1998,10.9
12-May-1998,10.8
26-May-1998,11.0
10-Jun-1998,12.0
16-Jul-1998,11.0
6-Aug-1998,11.1
1-Sep-1998,11.0
30-Sep-1998,11.3
13-Oct-1998,11.2
2-Nov-1998,11.6
14-Apr-1999,12.3
27-Apr-1999,11.9
12-May-1999,11.7
26-May-1999,11.2
9-Jun-1999,12.1
23-Jun-1999,11.9
21-Jul-1999,11.4
11-Aug-1999,11.5
9-Sep-1999,10.9
6-Oct-1999,11.6
20-Oct-1999,11.2
4-Nov-1999,11.9
12-Apr-2000,13.0
25-Apr-2000,13.0
9-May-2000,12.2
23-May-2000,13.7
6-Jun-2000,13.5
27-Jun-2000,13.2
26-Jul-2000,12.4
24-Aug-2000,11.6
19-Sep-2000,12.1
19-Oct-2000,11.9
1-Nov-2000,11.4
1-May-2001,12.7
16-May-2001,13.3
30-May-2001,14.1
13-Jun-2001,14.4
27-Jun-2001,11.8
24-Jul-2001,11.8
22-Aug-2001,12.0
20-Sep-2001,12.0
19-Oct-2001,11.8
6-Nov-2001,11.6
16-Apr-2002,13.6
30-Apr-2002,13.6
15-May-2002,13.5
29-May-2002,14.0
11-Jun-2002,13.7
26-Jun-2002,14.0
19-Jul-2002,13.9
29-Aug-2002,12.9
26-Sep-2002,13.8
23-Oct-2002,12.6
6-Nov-2002,14.0
6-May-2003,14.2
20-May-2003,14.1
3-Jun-2003,14.3
19-Jun-2003,14.7
18-Jul-2003,13.8
14-Aug-2003,14.2
10-Sep-2003,14.4
10-Oct-2003,13.8
22-Oct-2003,14.9
11-Nov-2003,15.0
29-Apr-2004,15.2
11-May-2004,14.6
25-May-2004,15.2
8-Jun-2004,16.4
24-Jun-2004,16.6
22-Jul-2004,15.3
23-Aug-2004,15.2
22-Sep-2004,14.6
20-Oct-2004,16.2
2-Nov-2004,14.3
17-Nov-2004,14.9
26-Apr-2005,15.3
10-May-2005,15.3
25-May-2005,16.4
9-Jun-2005,15.9
21-Jun-2005,16.0
21-Jul-2005,15.7
19-Aug-2005,14.2
13-Sep-2005,16.3
11-Oct-2005,15.6
27-Oct-2005,15.6
8-Nov-2005,16.2
11-Apr-2006,15.4
25-Apr-2006,15.4
11-May-2006,15.4
24-May-2006,15.5
7-Jun-2006,14.0
21-Jun-2006,15.7
18-Jul-2006,14.9
18-Aug-2006,15.0
15-Sep-2006,14.8
11-Oct-2006,14.9
25-Oct-2006,15.1
8-Nov-2006,14.9
1-May-2007,14.5
16-May-2007,15.0
30-May-2007,14.4
13-Jun-2007,14.2
10-Jul-2007,14.1
8-Aug-2007,14.7
5-Sep-2007,15.1
2-Oct-2007,14.1
30-Oct-2007,15.3
14-Nov-2007,15.3
23-Apr-2008,15.2
7-May-2008,15.6
20-May-2008,15.5
4-Jun-2008,15.0
18-Jun-2008,15.4
15-Jul-2008,15.2
12-Aug-2008,14.9
27-Aug-2008,15.5
12-Sep-2008,14.8
9-Oct-2008,15.3
22-Oct-2008,15.1
4-Nov-2008,15.0
21-Apr-2009,16.3
5-May-2009,16.3
19-May-2009,16.4
3-Jun-2009,16.3
17-Jun-2009,16.0
30-Jun-2009,15.8
29-Jul-2009,15.9
26-Aug-2009,16.2
23-Sep-2009,16.1
21-Oct-2009,16.9
5-Nov-2009,15.2
11-Apr-1995,10.1
26-Apr-1995,10.1
9-May-1995,10.1
23-May-1995,9.9
6-Jun-1995,10.0
21-Jun-1995,10.2
20-Jul-1995,10.8
22-Aug-1995,13.9
20-Sep-1995,12.0
24-Oct-1995,11.4
15-Nov-1995,11.1
17-Apr-1996,10.4
1-May-1996,11.9
14-May-1996,10.7
29-May-1996,11.0
11-Jun-1996,9.9
9-Jul-1996,10.4
7-Aug-1996,10.7
5-Sep-1996,10.8
2-Oct-1996,10.7
15-Oct-1996,10.2
5-Nov-1996,11.4
22-Apr-1997,10.5
7-May-1997,10.3
20-May-1997,9.5
3-Jun-1997,9.6
18-Jun-1997,10.3
24-Jul-1997,9.6
21-Aug-1997,9.1
22-Sep-1997,9.4
22-Oct-1997,10.0
4-Nov-1997,11.3
15-Apr-1998,11.5
30-Apr-1998,11.2
12-May-1998,11.0
26-May-1998,10.9
10-Jun-1998,11.7
16-Jul-1998,11.1
6-Aug-1998,11.1
1-Sep-1998,10.7
30-Sep-1998,10.9
13-Oct-1998,11.0
2-Nov-1998,11.3
14-Apr-1999,12.2
27-Apr-1999,12.0
12-May-1999,11.9
26-May-1999,10.8
9-Jun-1999,11.8
23-Jun-1999,11.6
21-Jul-1999,11.3
11-Aug-1999,11.2
9-Sep-1999,10.8
6-Oct-1999,11.4
20-Oct-1999,11.6
4-Nov-1999,12.0
12-Apr-2000,13.0
25-Apr-2000,12.5
9-May-2000,12.0
23-May-2000,13.3
6-Jun-2000,13.4
27-Jun-2000,12.8
26-Jul-2000,12.4
24-Aug-2000,11.4
19-Sep-2000,11.6
1-Nov-2000,11.5
1-May-2001,13.2
16-May-2001,13.3
30-May-2001,13.4
13-Jun-2001,13.9
27-Jun-2001,11.6
24-Jul-2001,11.4
22-Aug-2001,11.5
20-Sep-2001,11.3
19-Oct-2001,11.5
6-Nov-2001,11.6
16-Apr-2002,13.3
30-Apr-2002,13.4
15-May-2002,13.6
29-May-2002,14.9
11-Jun-2002,13.7
26-Jun-2002,13.6
19-Jul-2002,13.5
29-Aug-2002,12.7
26-Sep-2002,13.2
23-Oct-2002,12.3
6-Nov-2002,14.1
6-May-2003,14.3
20-May-2003,14.2
3-Jun-2003,14.3
19-Jun-2003,14.1
18-Jul-2003,13.9
14-Aug-2003,14.0
10-Sep-2003,14.5
10-Oct-2003,14.2
22-Oct-2003,14.4
11-Nov-2003,14.9
29-Apr-2004,15.1
11-May-2004,13.5
25-May-2004,15.3
8-Jun-2004,16.0
24-Jun-2004,16.0
22-Jul-2004,15.2
23-Aug-2004,15.2
22-Sep-2004,15.0
20-Oct-2004,15.9
2-Nov-2004,14.0
17-Nov-2004,15.1
26-Apr-2005,15.5
10-May-2005,15.4
25-May-2005,16.4
9-Jun-2005,15.7
21-Jun-2005,15.7
21-Jul-2005,15.9
19-Aug-2005,13.9
13-Sep-2005,15.8
11-Oct-2005,15.2
27-Oct-2005,15.6
8-Nov-2005,16.2
11-Apr-2006,15.2
25-Apr-2006,15.4
11-May-2006,15.3
24-May-2006,15.1
7-Jun-2006,14.1
21-Jun-2006,15.7
18-Jul-2006,15.3
18-Aug-2006,15.1
15-Sep-2006,14.5
11-Oct-2006,14.7
25-Oct-2006,14.9
8-Nov-2006,14.9
1-May-2007,14.6
16-May-2007,14.7
30-May-2007,14.1
13-Jun-2007,13.9
10-Jul-2007,13.5
8-Aug-2007,14.2
5-Sep-2007,14.6
2-Oct-2007,13.4
30-Oct-2007,14.9
14-Nov-2007,15.0
23-Apr-2008,15.1
7-May-2008,15.4
20-May-2008,14.9
4-Jun-2008,14.9
18-Jun-2008,14.9
15-Jul-2008,15.0
12-Aug-2008,14.8
27-Aug-2008,15.6
12-Sep-2008,15.1
9-Oct-2008,15.0
22-Oct-2008,15.0
4-Nov-2008,15.0
21-Apr-2009,16.2
5-May-2009,15.8
19-May-2009,16.0
3-Jun-2009,15.9
17-Jun-2009,15.6
30-Jun-2009,15.5
29-Jul-2009,15.7
26-Aug-2009,16.0
23-Sep-2009,15.9
21-Oct-2009,16.5
5-Nov-2009,15.3
6-Apr-2010,16.8
21-Apr-2010,15.5
5-May-2010,16.2
18-May-2010,16.9
1-Jun-2010,16.5
30-Jun-2010,16.9
28-Jul-2010,17.1
25-Aug-2010,17.3
22-Sep-2010,17.3
6-Oct-2010,17.1
20-Oct-2010,17.7
3-Nov-2010,17.5
17-Nov-2010,15.7
26-Apr-2011,16.5
11-May-2011,15.7
24-May-2011,16.6
8-Jun-2011,16.4
22-Jun-2011,16.0
20-Jul-2011,15.9
17-Aug-2011,15.6
14-Sep-2011,15.5
12-Oct-2011,16.0
26-Oct-2011,15.7
10-Nov-2011,16.2
11-Apr-2012,16.6
25-Apr-2012,16.2
10-May-2012,16.1
23-May-2012,16.3
5-Jun-2012,14.2
19-Jun-2012,15.9
18-Jul-2012,15.2
14-Aug-2012,16.4
12-Sep-2012,14.7
11-Oct-2012,16.0
25-Oct-2012,15.3
8-Nov-2012,16.0
23-Apr-2013,14.5
7-May-2013,15.1
21-May-2013,14.7
4-Jun-2013,14.5
18-Jun-2013,14.6
16-Jul-2013,14.5
13-Aug-2013,15.5
10-Sep-2013,15.1
9-Oct-2013,15.2
22-Oct-2013,14.7
5-Nov-2013,14.6
19-Nov-2013,14.0
6-Apr-2010,16.9
21-Apr-2010,16.0
5-May-2010,16.1
18-May-2010,16.8
1-Jun-2010,16.4
30-Jun-2010,16.9
28-Jul-2010,17.0
25-Aug-2010,17.2
22-Sep-2010,16.9
