Date,Na
24-Jun-1980,3.6
30-Jun-1980,3.6
24-Jul-1980,3.4
4-Aug-1980,3.5
18-Aug-1980,3.5
2-Sep-1980,3.5
22-Sep-1980,3.6
6-Apr-1981,3.5
21-Apr-1981,3.5
19-May-1981,3.5
26-Apr-1982,3.6
10-May-1982,3.8
25-May-1982,3.8
8-Jun-1982,3.7
22-Jun-1982,3.7
13-Jul-1982,3.8
28-Jul-1982,3.8
3-Aug-1982,3.8
11-Aug-1982,3.7
24-Aug-1982,3.8
2-Sep-1982,3.9
16-Sep-1982,3.9
14-Oct-1982,3.8
10-Nov-1982,3.7
13-Apr-1983,4.0
27-Apr-1983,3.9
13-May-1983,3.9
3-Jun-1983,3.7
15-Jun-1983,3.8
8-Jul-1983,3.9
27-Jul-1983,3.9
17-Aug-1983,3.9
15-Sep-1983,4.0
6-Oct-1983,3.9
2-Nov-1983,4.0
17-Apr-1986,3.8
30-Apr-1986,4.0
15-May-1986,4.0
29-May-1986,4.2
12-Jun-1986,4.2
20-Apr-1989,5.0
26-Apr-1990,5.1
23-May-1990,4.4
27-Jun-1990,5.3
15-Aug-1990,4.9
13-Sep-1990,5.3
10-Oct-1990,5.3
6-May-1993,5.1
19-May-1993,5.2
10-Jun-1993,5.6
15-Jul-1993,5.2
17-Aug-1993,5.3
16-Sep-1993,5.6
19-Oct-1993,5.8
16-Nov-1993,5.7
12-Apr-1995,6.2
25-Apr-1995,6.2
9-May-1995,6.2
23-May-1995,6.3
6-Jun-1995,6.3
21-Jun-1995,5.7
20-Jul-1995,6.1
23-Aug-1995,6.2
20-Sep-1995,6.1
24-Oct-1995,6.1
15-Nov-1995,5.9
22-Apr-1997,5.8
7-May-1997,5.7
20-May-1997,5.9
3-Jun-1997,6.2
18-Jun-1997,6.3
24-Jul-1997,6.5
21-Aug-1997,6.2
22-Sep-1997,6.0
22-Oct-1997,6.0
4-Nov-1997,5.9
15-Apr-1998,6.0
30-Apr-1998,6.2
12-May-1998,6.3
26-May-1998,6.0
10-Jun-1998,6.1
16-Jul-1998,6.0
6-Aug-1998,6.1
1-Sep-1998,6.1
30-Sep-1998,6.2
13-Oct-1998,6.2
2-Nov-1998,6.3
14-Apr-1999,5.5
27-Apr-1999,5.8
12-May-1999,6.7
26-May-1999,6.7
9-Jun-1999,6.8
23-Jun-1999,6.9
21-Jul-1999,6.8
11-Aug-1999,6.4
9-Sep-1999,6.5
6-Oct-1999,6.4
20-Oct-1999,6.6
4-Nov-1999,6.5
12-Apr-2000,7.9
25-Apr-2000,8.0
