Date,Mg
24-Apr-2013,2.51
8-May-2013,2.48
22-May-2013,2.47
3-Jun-2013,2.51
19-Jun-2013,2.41
17-Jul-2013,2.34
14-Aug-2013,2.42
11-Sep-2013,2.41
10-Oct-2013,2.31
24-Oct-2013,2.30
6-Nov-2013,2.30
18-Nov-2013,2.27
24-Apr-2013,2.55
8-May-2013,2.56
22-May-2013,2.47
3-Jun-2013,2.56
19-Jun-2013,2.48
17-Jul-2013,2.44
14-Aug-2013,2.50
11-Sep-2013,2.40
10-Oct-2013,2.35
24-Oct-2013,2.34
6-Nov-2013,2.33
18-Nov-2013,2.31
30-Apr-2014,1.89
30-Apr-2014,1.89
15-May-2014,2.00
15-May-2014,2.22
29-May-2014,2.02
29-May-2014,2.03
11-Jun-2014,1.89
11-Jun-2014,1.91
26-Jun-2014,1.91
26-Jun-2014,1.91
26-Jun-2014,1.94
26-Jun-2014,1.95
23-Jul-2014,1.89
23-Jul-2014,1.93
23-Jul-2014,1.99
23-Jul-2014,1.90
23-Jul-2014,1.91
20-Aug-2014,1.98
20-Aug-2014,2.01
20-Aug-2014,2.02
20-Aug-2014,1.97
20-Aug-2014,1.98
17-Sep-2014,1.98
17-Sep-2014,1.99
17-Sep-2014,2.01
17-Sep-2014,1.99
17-Sep-2014,1.97
15-Oct-2014,2.00
15-Oct-2014,2.01
15-Oct-2014,2.04
15-Oct-2014,1.99
15-Oct-2014,2.00
29-Oct-2014,2.03
29-Oct-2014,2.04
29-Oct-2014,2.07
29-Oct-2014,2.04
29-Oct-2014,2.04
12-Nov-2014,2.04
12-Nov-2014,2.04
12-Nov-2014,2.06
12-Nov-2014,2.05
12-Nov-2014,2.04
5-May-2015,2.31
20-May-2015,2.20
3-Jun-2015,2.17
17-Jun-2015,2.13
1-Jul-2015,2.22
29-Jul-2015,2.50
26-Aug-2015,2.40
23-Sep-2015,2.48
7-Oct-2015,2.44
21-Oct-2015,2.43
4-Nov-2015,2.43
18-Nov-2015,2.51
5-May-2015,2.33
20-May-2015,2.18
3-Jun-2015,2.20
17-Jun-2015,2.17
1-Jul-2015,2.28
29-Jul-2015,2.53
26-Aug-2015,2.38
23-Sep-2015,2.43
7-Oct-2015,2.41
21-Oct-2015,2.43
4-Nov-2015,2.43
18-Nov-2015,2.51
5-May-2015,2.36
20-May-2015,2.19
3-Jun-2015,2.22
17-Jun-2015,2.19
1-Jul-2015,2.26
29-Jul-2015,2.58
26-Aug-2015,2.50
23-Sep-2015,2.53
7-Oct-2015,2.50
21-Oct-2015,2.47
4-Nov-2015,2.46
18-Nov-2015,2.55
20-May-2015,2.17
1-Jul-2015,2.20
29-Jul-2015,2.51
26-Aug-2015,2.39
23-Sep-2015,2.43
7-Oct-2015,2.43
21-Oct-2015,2.44
18-Nov-2015,2.50
20-May-2015,2.03
1-Jul-2015,2.23
29-Jul-2015,2.52
26-Aug-2015,2.38
23-Sep-2015,2.39
7-Oct-2015,2.45
21-Oct-2015,2.42
4-Nov-2015,2.43
18-Nov-2015,2.52
23-Mar-2016,2.44
7-Apr-2016,2.44
20-Apr-2016,2.41
5-May-2016,2.72
18-May-2016,2.79
1-Jun-2016,2.61
29-Jun-2016,2.41
27-Jul-2016,2.61
24-Aug-2016,2.49
21-Sep-2016,2.31
19-Oct-2016,2.31
2-Nov-2016,2.51
16-Nov-2016,2.49
23-Mar-2016,2.44
7-Apr-2016,2.40
20-Apr-2016,2.39
5-May-2016,2.72
18-May-2016,2.74
1-Jun-2016,2.66
29-Jun-2016,2.43
27-Jul-2016,2.59
24-Aug-2016,2.47
21-Sep-2016,2.29
19-Oct-2016,2.30
2-Nov-2016,2.45
16-Nov-2016,2.63
23-Mar-2016,2.44
7-Apr-2016,2.42
20-Apr-2016,2.39
5-May-2016,2.73
18-May-2016,2.76
1-Jun-2016,2.67
29-Jun-2016,2.46
27-Jul-2016,2.59
24-Aug-2016,2.56
21-Sep-2016,2.35
19-Oct-2016,2.32
2-Nov-2016,2.54
16-Nov-2016,2.54
1-Jun-2016,2.62
29-Jun-2016,2.41
27-Jul-2016,2.64
24-Aug-2016,2.48
21-Sep-2016,2.29
19-Oct-2016,2.27
2-Nov-2016,2.47
16-Nov-2016,2.55
1-Jun-2016,2.63
29-Jun-2016,2.41
27-Jul-2016,2.59
24-Aug-2016,2.46
21-Sep-2016,2.28
19-Oct-2016,2.29
2-Nov-2016,2.45
16-Nov-2016,2.63
