Date,Ca
16-Apr-1980,5.9
29-Apr-1980,5.3
20-May-1980,6.2
2-Jun-1980,7.2
16-Jun-1980,5.6
30-Jun-1980,5.1
15-Jul-1980,12.5
24-Jul-1980,8.0
4-Aug-1980,7.8
18-Aug-1980,7.8
2-Sep-1980,8.2
22-Sep-1980,8.0
4-Nov-1980,9.6
6-Apr-1981,11.1
21-Apr-1981,11.0
5-May-1981,10.1
19-May-1981,10.0
2-Jun-1981,10.6
24-Jun-1981,10.3
16-Mar-1982,12.7
26-Apr-1982,12.1
10-May-1982,12.0
8-Jun-1982,11.4
22-Jun-1982,11.3
13-Jul-1982,11.6
3-Aug-1982,11.7
24-Aug-1982,12.2
16-Sep-1982,11.8
14-Oct-1982,13.0
10-Nov-1982,12.1
7-Jul-1983,12.0
16-Apr-1984,11.3
1-May-1984,11.3
15-May-1984,11.6
30-May-1984,10.6
13-Jun-1984,10.9
5-Jul-1984,10.5
25-Jul-1984,11.1
16-Aug-1984,11.3
6-Sep-1984,11.4
25-Sep-1984,11.2
17-Oct-1984,13.2
7-Nov-1984,12.0
11-Apr-1985,10.9
7-May-1985,11.6
21-May-1985,11.7
4-Jun-1985,10.3
19-Jun-1985,11.5
24-Jul-1985,10.5
14-Aug-1985,11.0
11-Sep-1985,10.8
2-Oct-1985,12.0
15-Oct-1985,12.5
7-Nov-1985,12.1
20-Mar-1986,11.6
16-Apr-1986,12.3
29-Apr-1986,11.1
13-May-1986,12.2
27-May-1986,11.4
11-Jun-1986,11.9
25-Jun-1986,12.3
17-Jul-1986,13.2
6-Aug-1986,12.4
27-Aug-1986,12.9
17-Sep-1986,12.8
1-Oct-1986,12.8
22-Oct-1986,13.0
6-Nov-1986,13.0
20-Nov-1986,12.6
11-Feb-1987,13.0
15-Apr-1987,13.1
28-Apr-1987,13.0
12-May-1987,13.3
27-May-1987,13.1
10-Jun-1987,12.9
23-Jun-1987,13.4
15-Jul-1987,12.8
5-Aug-1987,11.4
26-Aug-1987,12.0
15-Sep-1987,12.5
13-Oct-1987,11.4
28-Oct-1987,12.4
11-Nov-1987,11.7
11-Feb-1988,9.8
14-Apr-1988,12.7
26-Apr-1988,12.4
10-May-1988,10.6
24-May-1988,9.9
7-Jun-1988,9.6
21-Jun-1988,9.9
13-Jul-1988,10.5
3-Aug-1988,9.9
24-Aug-1988,10.7
8-Sep-1988,11.4
26-Sep-1988,11.5
18-Oct-1988,11.5
1-Nov-1988,10.4
15-Nov-1988,10.8
1-Mar-1989,12.7
19-Apr-1989,11.6
17-May-1989,10.3
15-Jun-1989,11.6
13-Jul-1989,10.1
10-Aug-1989,9.8
7-Sep-1989,11.0
10-Oct-1989,10.2
8-Nov-1989,10.0
21-Feb-1990,13.9
25-Apr-1990,14.3
24-May-1990,13.1
28-Jun-1990,8.3
16-Aug-1990,9.6
12-Sep-1990,9.5
13-Feb-1991,8.2
10-Apr-1991,8.7
9-May-1991,9.0
5-Jun-1991,8.3
9-Jul-1991,8.2
7-Aug-1991,7.9
11-Sep-1991,8.8
15-Oct-1991,8.2
13-Nov-1991,8.4
18-Feb-1992,8.7
24-Apr-1992,7.8
7-May-1992,8.6
20-May-1992,9.8
17-Jun-1992,9.8
15-Jul-1992,9.7
13-Aug-1992,8.9
9-Sep-1992,9.4
8-Oct-1992,9.6
22-Oct-1992,9.6
4-Nov-1992,8.3
4-May-1994,11.8
19-May-1994,10.5
1-Jun-1994,10.4
7-Jul-1994,10.2
4-Aug-1994,10.4
12-Sep-1994,10.3
4-Oct-1994,11.4
31-Oct-1994,10.5
16-Nov-1994,10.5
9-Mar-1995,12.1
11-Apr-1995,13.3
26-Apr-1995,11.6
9-May-1995,12.4
23-May-1995,11.7
6-Jun-1995,12.6
21-Jun-1995,12.0
20-Jul-1995,10.4
22-Aug-1995,11.7
20-Sep-1995,11.7
24-Oct-1995,11.4
15-Nov-1995,11.3
20-Feb-1996,12.3
17-Apr-1996,11.4
1-May-1996,12.2
14-May-1996,11.5
29-May-1996,11.0
11-Jun-1996,11.0
9-Jul-1996,11.4
5-Sep-1996,11.8
2-Oct-1996,11.8
15-Oct-1996,11.7
5-Nov-1996,12.6
18-Feb-1997,10.8
22-Apr-1997,10.8
7-May-1997,10.3
20-May-1997,8.4
3-Jun-1997,11.1
18-Jun-1997,10.9
24-Jul-1997,11.2
21-Aug-1997,11.6
22-Sep-1997,11.2
22-Oct-1997,12.3
4-Nov-1997,11.5
26-Feb-1998,12.6
15-Apr-1998,12.2
30-Apr-1998,11.1
12-May-1998,10.3
26-May-1998,10.1
10-Jun-1998,9.8
16-Jul-1998,9.8
6-Aug-1998,10.4
1-Sep-1998,9.8
30-Sep-1998,10.2
13-Oct-1998,11.8
2-Nov-1998,11.0
2-Mar-1999,11.2
14-Apr-1999,11.8
27-Apr-1999,11.2
12-May-1999,11.1
26-May-1999,9.7
9-Jun-1999,10.8
23-Jun-1999,10.9
21-Jul-1999,11.1
11-Aug-1999,11.6
9-Sep-1999,11.8
6-Oct-1999,11.3
20-Oct-1999,11.1
4-Nov-1999,11.1
2-Mar-2000,10.3
12-Apr-2000,12.0
25-Apr-2000,11.9
9-May-2000,10.3
23-May-2000,9.8
6-Jun-2000,9.8
27-Jun-2000,10.1
26-Jul-2000,10.6
24-Aug-2000,12.1
19-Sep-2000,11.0
19-Oct-2000,11.2
1-Nov-2000,12.0
1-May-2001,10.0
16-May-2001,10.4
30-May-2001,10.2
13-Jun-2001,10.9
27-Jun-2001,10.5
24-Jul-2001,10.8
22-Aug-2001,10.9
20-Sep-2001,10.6
19-Oct-2001,8.9
6-Nov-2001,9.4
20-Mar-2002,11.4
16-Apr-2002,10.1
30-Apr-2002,10.2
15-May-2002,11.1
29-May-2002,10.6
11-Jun-2002,10.8
26-Jun-2002,10.8
19-Jul-2002,10.0
29-Aug-2002,10.4
26-Sep-2002,10.5
23-Oct-2002,10.5
6-Nov-2002,10.8
6-Mar-2003,11.5
6-May-2003,11.1
20-May-2003,11.1
3-Jun-2003,11.1
19-Jun-2003,11.0
18-Jul-2003,10.4
14-Aug-2003,9.2
10-Sep-2003,10.7
10-Oct-2003,10.5
22-Oct-2003,10.8
11-Nov-2003,11.0
18-Feb-2004,12.7
29-Apr-2004,10.9
11-May-2004,10.1
25-May-2004,11.8
8-Jun-2004,12.1
24-Jun-2004,12.3
22-Jul-2004,12.6
23-Aug-2004,11.9
22-Sep-2004,11.7
20-Oct-2004,11.8
2-Nov-2004,11.9
17-Nov-2004,11.6
16-Feb-2005,12.2
26-Apr-2005,12.0
10-May-2005,12.9
25-May-2005,12.8
9-Jun-2005,12.7
21-Jun-2005,12.2
21-Jul-2005,12.1
