SITE,Z,Date,Zsec,PH,COND,ALK,OP,TFP,TP,CL,NO3,SO4,TN,NH4,SI,Na,Mg,Ca,K,Fe,CHLA,T,DO (mg/l),DO (sat),Zcomp (m)
A10,10,24-Jun-1980,,7.35,92.7,,0.5,2.0,4.0,5.9,0.005,3.52,,0.005,,3.6,2.2,7.9,0.54,,,,,,
A10,10,30-Jun-1980,10.0,7.52,98.1,,0.5,2.0,4.0,6.0,0.010,3.48,,0.005,,3.6,2.2,7.7,0.52,,1.07,,,,
A10,10,24-Jul-1980,9.9,7.40,87.7,,0.5,3.0,5.0,5.8,0.005,3.22,,0.005,,3.4,,7.8,,,,16.2,10.3,105.4%,
A10,10,4-Aug-1980,9.0,7.39,97.9,,0.5,2.0,4.0,5.4,0.005,3.26,,0.005,,3.5,,7.4,,,0.79,14.9,10.4,103.3%,
A10,10,18-Aug-1980,7.9,7.37,95.0,,0.5,4.0,8.0,5.9,0.010,3.56,,0.005,,3.5,,7.9,,,,22.0,8.8,102.3%,
A10,10,2-Sep-1980,10.0,7.22,89.1,,0.5,2.0,4.0,6.4,0.010,3.40,,0.005,,3.5,,8.2,,,,,,,
A10,10,22-Sep-1980,9.0,7.23,99.6,,0.5,2.0,4.0,6.3,0.030,3.88,,0.005,,3.6,2.2,8.0,,,0.73,18.0,8.8,93.8%,
A10,10,6-Apr-1981,8.0,7.39,97.3,,1.0,2.0,5.0,5.9,0.040,,,0.005,1.62,3.5,,9.5,0.52,,1.74,,,,
A10,10,21-Apr-1981,8.7,7.42,101.4,,0.5,2.0,5.0,6.2,0.030,,,0.010,1.52,3.5,,10.0,,,1.52,5.8,9.7,77.9%,
A10,10,5-May-1981,,,,,,,,,,,,,,,,,,,,7.4,12.8,106.8%,
A10,10,19-May-1981,10.0,7.56,97.4,,1.0,2.0,4.0,6.1,0.005,,,0.005,1.29,3.5,,10.5,0.53,,0.79,9.8,6.9,60.9%,
