Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC
18824,"JR Quinlan","Induction of decision trees",1986,"Machine learning","Springer","http://link.springer.com/article/10.1007/BF00116251","https://scholar.google.com/scholar?cites=8488599356685324414&as_sdt=5,33&sciodt=0,33&hl=en&num=20",37,"2017-06-15","","","","",0,0,0,0,18824
7233,"R Kohavi","A study of cross-validation and bootstrap for accuracy estimation and model selection",1995,"Ijcai","pdfs.semanticscholar.org","https://pdfs.semanticscholar.org/0be0/d781305750b37acb35fa187febd8db67bfcc.pdf","https://scholar.google.com/scholar?cites=4947254018642872463&as_sdt=5,33&sciodt=0,33&hl=en&num=20",265,"2017-06-15","PDF","","","",0,0,0,0,7233
3933,"WW Cohen","Fast effective rule induction",1995,"Proceedings of the twelfth international conference …","books.google.com","https://books.google.com/books?hl=en&lr=&id=akijBQAAQBAJ&oi=fnd&pg=PA115&dq=%22decision+tree%22&ots=MJ0Hx4zOxp&sig=Brdwn967uMaZk2bEZoFeKz7ERLI","https://scholar.google.com/scholar?cites=10931415837674244356&as_sdt=5,33&sciodt=0,33&hl=en&num=20",349,"2017-06-15","","","","",0,0,0,0,3933
3888,"TG Dietterich","Ensemble methods in machine learning",2000,"International workshop on multiple classifier systems","Springer","http://link.springer.com/chapter/10.1007/3-540-45014-9_1","https://scholar.google.com/scholar?cites=8933724544401065115&as_sdt=5,33&sciodt=0,33&hl=en&num=20",186,"2017-06-15","","","","",0,0,0,0,3888
3433,"R Agrawal. R Srikant","Privacy-preserving data mining",2000,"ACM Sigmod Record","dl.acm.org","http://dl.acm.org/citation.cfm?id=335438","https://scholar.google.com/scholar?cites=1802754271751404607&as_sdt=5,33&sciodt=0,33&hl=en&num=20",418,"2017-06-15","","","","",0,0,0,0,3433
3277,"TK Ho","The random subspace method for constructing decision forests",1998,"IEEE transactions on pattern analysis and machine …","ieeexplore.ieee.org","http://ieeexplore.ieee.org/abstract/document/709601/","https://scholar.google.com/scholar?cites=8523996798901021270&as_sdt=5,33&sciodt=0,33&hl=en&num=20",774,"2017-06-15","","","","",0,0,0,0,3277
3217,"H Schmid","Probabilistic part-oﬁspeech tagging using decision trees",2013,"New methods in language processing","books.google.com","https://books.google.com/books?hl=en&lr=&id=-TP_AQAAQBAJ&oi=fnd&pg=PA154&dq=%22decision+tree%22&ots=WTmzflUm61&sig=Hu27ZHFkhw2NO2TWet_zXhlTJTA","https://scholar.google.com/scholar?cites=15715672177766606018&as_sdt=5,33&sciodt=0,33&hl=en&num=20",13,"2017-06-15","","","","",0,0,0,0,3217
2698,"MPS Brown. WN Grundy. D Lin…","Knowledge-based analysis of microarray gene expression data by using support vector machines",2000,"Proceedings of the …","National Acad Sciences","http://www.pnas.org/content/97/1/262.short","https://scholar.google.com/scholar?cites=12480117044468770978&as_sdt=5,33&sciodt=0,33&hl=en&num=20",628,"2017-06-15","","","","",0,0,0,0,2698
2638,"GH John. P Langley","Estimating continuous distributions in Bayesian classifiers",1995,"Proceedings of the Eleventh conference on …","dl.acm.org","http://dl.acm.org/citation.cfm?id=2074196","https://scholar.google.com/scholar?cites=1509403894416823880&as_sdt=5,33&sciodt=0,33&hl=en&num=20",587,"2017-06-15","","","","",0,0,0,0,2638
2529,"L Bao. SS Intille","Activity recognition from user-annotated acceleration data",2004,"International Conference on Pervasive Computing","Springer","http://link.springer.com/chapter/10.1007/978-3-540-24646-6_1","https://scholar.google.com/scholar?cites=4186847596104919273&as_sdt=5,33&sciodt=0,33&hl=en&num=20",605,"2017-06-15","","","","",0,0,0,0,2529
